Isolate name	Standardized name	Isolation	Ecological origins	wine_eco	Geographical origins	HO deletion	SSD1_allele	Ploidy	Aneuploidies	Aneuploidy_type	Zygosity	Mean coverage	Clades	Collection / Provider	Reference	heterozygosity	basename	ssd1geno	ssd1het	chr1only
CCY_21-4-119	BBH	Blossoms of pear tree (Pyrus communis)	Flower	Flower	"Male Levare, Slovakia"	no	A	2	euploid	Euploid	homozygous	250	1. Wine/European	Culture collection of Yeast (Renata Vadkertiova)	Peter	0.000190345	CCY_21_4_119	AA	hom	FALSE
CCY_21-4-120	BBI	"Blossoms of plum tree (Prunus domestica L., 'Stanley')"	Flower	Flower	"Male Levare, Slovakia"	no	A	2	euploid	Euploid	homozygous	279	1. Wine/European	Culture collection of Yeast (Renata Vadkertiova)	Peter	0.00019984	CCY_21_4_120	AA	hom	FALSE
CCY_21-4-121	BBK	"Blossoms of apricot tree (Prunus armeniaca L., Madraska)"	Flower	Flower	"Male Zaluzie, Slovakia"	no	A	2	euploid	Euploid	homozygous	268	1. Wine/European	Culture collection of Yeast (Renata Vadkertiova)	Peter	0.000189614	CCY_21_4_121	AA	hom	FALSE
CCY_21-4-88	BBC	Fruitbody of mushroom Xerocomus badius (Fr.) Gilb.	Fruit	Fruit	"Laksarska Nova Ves, Slovakia"	no	B	3	aneu;+1*7;	Gain	heterozygous	320	8. Mixed origin	Culture collection of Yeast (Renata Vadkertiova)	Peter	0.005183053	CCY_21_4_88	AB	het	FALSE
CCY_21-4-89:7-3	CEM	Fermenting acorn meal	Fermentation	Fermentation	North Korea	yes	B	1	euploid	Euploid	homozygous	203	M. Mosaic	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	Peter	0.000287956	CCY_21_4_89_7_3	BB	hom	FALSE
CCY_21-4-93:6B	CDK	Leaves of Sequoia sp.	Tree	Tree	North Korea	yes	B	1	euploid	Euploid	homozygous	165	M. Mosaic	State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	Peter	0.000248385	CCY_21_4_93_6B	BB	hom	FALSE
CCY_21-4-97	BBD	Fish pond water	Water	Water	"Jakubov, Slovakia"	no	A	2	aneu;+1*8;	Gain	heterozygous	310	8. Mixed origin	Culture collection of Yeast (Renata Vadkertiova)	Peter	0.00336679	CCY_21_4_97	AA	hom	FALSE
CCY_21-4-98	BBE	Sediment of fresh water lake	Water	Water	"Jakubov, Slovakia"	no	A	2	aneu;+1*8;	Gain	heterozygous	302	8. Mixed origin	Culture collection of Yeast (Renata Vadkertiova)	Peter	0.003028268	CCY_21_4_98	AA	het	FALSE
CD7-9Sv2	CQV	Wine	Wine	Wine	Italy	no	A	2	euploid	Euploid	homozygous	204	1. Wine/European	University of Basilicata (Angela Capece and Patrizia Romano)	Peter	0.000219381	CD7_9Sv2	AA	hom	FALSE
CECT10109_1b	ABP	Prickly pear	Fruit	Fruit	Spain	yes	A	1	euploid	Euploid	homozygous	215	1. Wine/European	CECT collection	1	0.000197697	CECT10109_1b	AA	hom	FALSE
CECT10120	ATR	Fruit	Fruit	Fruit	Spain	no	B	2	euploid	Euploid	heterozygous	199	8. Mixed origin	CECT collection	Peter	0.002893263	CECT10120	AB	het	FALSE
CECT10131	ATS	Flower	Flower	Flower	Spain	no	A	2	euploid	Euploid	heterozygous	248	8. Mixed origin	CECT collection	Peter	0.003253468	CECT10131	AA	het	FALSE
CECT10171-5B	CDT	Larvae of Dacus oleae	Insect	Insect	Spain	no	A	2	euploid	Euploid	homozygous	229	2. Alpechin	CECT collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	Peter	0.000302977	CECT10171_5B	AA	hom	FALSE
CECT10266	AVB	Tanning liquor	Industrial	Industrial	Spain	no	A	1	euploid	Euploid	homozygous	198	2. Alpechin	CECT collection	Peter	0.000318819	CECT10266	AA	hom	FALSE
CECT10331:9-1	CDR	Flowers of Centaurea alba	Flower	Flower	Spain	no	A	2	euploid	Euploid	homozygous	231	8. Mixed origin	CECT collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	Peter	0.000265524	CECT10331_9_1	AA	hom	FALSE
CECT10351-1B	CDS	Tomato	Fruit	Fruit	Spain	no	A	2	euploid	Euploid	homozygous	287	1. Wine/European	CECT collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	Peter	0.000186964	CECT10351_1B	AA	hom	FALSE
CECT10497	ATQ	Alpechin (waste from olive oil production)	Industrial	Industrial	Spain	no	A	2	aneu;+2*9;+1*11;	Gain	homozygous	249	2. Alpechin	CECT collection	Peter	0.000273001	CECT10497	AA	hom	FALSE
CECT10711	AVC	Sake	Sake	Sake	Japan	no	B	2	aneu;-1*1;+1*9;+1*15;	Both	heterozygous	252	25. Sake	CECT collection	Peter	0.000403308	CECT10711	BB	het	FALSE
CECT10712	AVD	Sake	Sake	Sake	Japan	no	B	2	aneu;+1*3;+1*11;	Gain	heterozygous	233	25. Sake	CECT collection	Peter	0.000375677	CECT10712	BB	hom	FALSE
CECT1462	ATV	Beer	Beer	Beer	UK	no	A	4	euploid	Euploid	heterozygous	88	11. Ale beer	CECT collection	Peter	0.004443769	CECT1462	AA	het	FALSE
CECT1478	AVH	Wine	Wine	Wine	Hungary	no	A	2	aneu;+1*2;+1*6;+1*7;+1*10;+1*13;+1*15;+1*16;	Gain	homozygous	266	1. Wine/European	CECT collection	Peter	0.000178313	CECT1478	AA	hom	FALSE
CEY615	BDP	Human feces	Human	Human	French Guiana	no	A	2	euploid	Euploid	heterozygous	277	10. French Guiana human	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20	0.000938705	CEY615	AA	hom	FALSE
CEY616	BDQ	Human feces	Human	Human	French Guiana	no	A	2	euploid	Euploid	heterozygous	213	10. French Guiana human	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20	0.00127609	CEY616	AA	hom	FALSE
CEY617	BDR	Human feces	Human	Human	French Guiana	no	A	2	euploid	Euploid	heterozygous	189	10. French Guiana human	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20	0.000887083	CEY617	AA	hom	FALSE
CEY618	BDS	Human feces	Human	Human	French Guiana	no	A	2	euploid	Euploid	heterozygous	196	10. French Guiana human	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20	0.001174367	CEY618	AA	hom	FALSE
CEY619	BDT	Human feces	Human	Human	French Guiana	no	A	2	euploid	Euploid	heterozygous	223	10. French Guiana human	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20	0.001072536	CEY619	AA	hom	FALSE
CEY620	BDV	Human feces	Human	Human	French Guiana	no	A	2	euploid	Euploid	heterozygous	228	10. French Guiana human	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20	0.000983313	CEY620	AA	hom	FALSE
CEY621	BEA	Human feces	Human	Human	French Guiana	no	A	2	euploid	Euploid	heterozygous	186	10. French Guiana human	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20	0.000900177	CEY621	AA	het	FALSE
CEY622	BEB	Human feces	Human	Human	French Guiana	no	A	2	euploid	Euploid	heterozygous	307	10. French Guiana human	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20	0.00117891	CEY622	AA	het	FALSE
CEY623	BEC	Human feces	Human	Human	French Guiana	no	A	2	aneu;+1*12;	Gain	heterozygous	223	10. French Guiana human	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20	0.000926947	CEY623	AA	hom	FALSE
CEY624	BED	Human feces	Human	Human	French Guiana	no	A	2	euploid	Euploid	heterozygous	217	10. French Guiana human	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20	0.001185281	CEY624	AA	het	FALSE
CEY625	BEE	Human feces	Human	Human	French Guiana	no	A	2	euploid	Euploid	heterozygous	241	10. French Guiana human	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20	0.001148045	CEY625	AA	hom	FALSE
CEY646	BMR	Chicken	Nature	Nature	French Guiana	no	A	2	euploid	Euploid	heterozygous	291	10. French Guiana human	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20	0.000800207	CEY646	AA	hom	FALSE
CEY647	CQS	Molossus molossus (bat)	Nature	Nature	French Guiana	no	A	2	euploid	Euploid	homozygous	243	NA	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	Peter	0.000422394	CEY647	AA	hom	FALSE
CEY649	BMV	Agouti paca (RO)	Nature	Nature	French Guiana	no	A	2	euploid	Euploid	heterozygous	300	10. French Guiana human	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20	0.000972287	CEY649	AA	het	FALSE
CEY650	BNA	Agouti paca (RO)	Nature	Nature	French Guiana	no	A	2	euploid	Euploid	heterozygous	297	10. French Guiana human	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20	0.001086081	CEY650	AA	hom	FALSE
CEY651	BNB	Fruits	Fruit	Fruit	French Guiana	no	A	2	euploid	Euploid	heterozygous	284	10. French Guiana human	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20	0.001212646	CEY651	AA	het	FALSE
CEY652	BNC	Fruits	Fruit	Fruit	French Guiana	no	A	2	euploid	Euploid	heterozygous	334	10. French Guiana human	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20	0.000829775	CEY652	AA	het	FALSE
CEY653	BND	Fruits	Fruit	Fruit	French Guiana	no	A	2	euploid	Euploid	heterozygous	189	10. French Guiana human	Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux)	20	0.000726621	CEY653	AA	hom	FALSE
CH02	AVN	Pearl millet beer	Beer	Beer	"Abengourou, Ivory Coast"	no	junk	4	euploid	Euploid	heterozygous	292	6. African beer	Université de Lyon (Michel Aigle)	15	0.003483062	CH02	AA	het	FALSE
CH06	AVP	Pearl millet beer	Beer	Beer	"Abengourou, Ivory Coast"	no	A	5	aneu;-1*14;	Loss	heterozygous	204	6. African beer	Université de Lyon (Michel Aigle)	15	0.002941252	CH06	AA	het	FALSE
CH10	AVQ	Pearl millet beer	Beer	Beer	"Abengourou, Ivory Coast"	no	A	5	aneu;+1*4;	Gain	heterozygous	220	6. African beer	Université de Lyon (Michel Aigle)	15	0.002811201	CH10	AA	het	FALSE
CH11	AVR	Pearl millet beer	Beer	Beer	"Abengourou, Ivory Coast"	no	A	5	aneu;-1*15;	Loss	heterozygous	218	6. African beer	Université de Lyon (Michel Aigle)	15	0.002931838	CH11	AA	het	FALSE
CH13	AVT	Pearl millet beer	Beer	Beer	"Abengourou, Ivory Coast"	no	A	5	aneu;+1*2;+1*5;	Gain	heterozygous	229	6. African beer	Université de Lyon (Michel Aigle)	15	0.002799747	CH13	AA	het	FALSE
CH14	AVS	Pearl millet beer	Beer	Beer	"Abengourou, Ivory Coast"	no	A	5	aneu;+1*12;+1*13;	Gain	heterozygous	244	6. African beer	Université de Lyon (Michel Aigle)	15	0.002921325	CH14	AA	het	FALSE
CLIB1040	BHC	"Cider brewery, raw apple juice"	Cider	Cider	"Brittany, France"	no	A	2	euploid	Euploid	heterozygous	180	1. Wine/European	CLIB collection (Serge Casaregola)	Peter	0.000367705	CLIB1040	AA	hom	FALSE
CLIB1059	BHD	"Cider brewery, half fermenting apple juice"	Cider	Cider	"Brittany, France"	no	A	2	euploid	Euploid	heterozygous	177	M. Mosaic	CLIB collection (Serge Casaregola)	Peter	0.001783091	CLIB1059	AA	hom	FALSE
CLIB1060	BHE	"Cider brewery, half fermenting apple juice"	Cider	Cider	"Brittany, France"	no	A	2	aneu;+1*14;	Gain	heterozygous	202	M. Mosaic	CLIB collection (Serge Casaregola)	Peter	0.001467605	CLIB1060	AA	hom	FALSE
CLIB1062	BHF	"Cider brewery, half fermenting apple juice"	Cider	Cider	"Brittany, France"	no	A	2	euploid	Euploid	homozygous	283	1. Wine/European	CLIB collection (Serge Casaregola)	Peter	0.000162888	CLIB1062	AA	hom	FALSE
CLIB1070	BHG	"Cider brewery, dry cider"	Cider	Cider	"Lower Normandy, France"	no	A	2	euploid	Euploid	heterozygous	271	M. Mosaic	CLIB collection (Serge Casaregola)	Peter	0.002312427	CLIB1070	AA	het	FALSE
CLIB1071	BHH	"Cider brewery, dry cider"	Cider	Cider	"Lower Normandy, France"	no	A	2	euploid	Euploid	homozygous	256	M. Mosaic	CLIB collection (Serge Casaregola)	Peter	0.000318255	CLIB1071	AA	hom	FALSE
CLIB1072	BHI	"Cider brewery, dry cider"	Cider	Cider	"Lower Normandy, France"	no	A	2	euploid	Euploid	heterozygous	246	M. Mosaic	CLIB collection (Serge Casaregola)	Peter	0.000372184	CLIB1072	AA	hom	FALSE
CLIB1077	BHK	"Cider brewery, dry cider"	Cider	Cider	"Upper Normandy, France"	no	A	2	euploid	Euploid	heterozygous	239	M. Mosaic	CLIB collection (Serge Casaregola)	Peter	0.002076942	CLIB1077	AA	hom	FALSE
CLIB1082	BHL	"Cider brewery, dry cider"	Cider	Cider	"Upper Normandy, France"	no	B	2	euploid	Euploid	heterozygous	238	M. Mosaic	CLIB collection (Serge Casaregola)	Peter	0.002164604	CLIB1082	AB	het	FALSE
CLIB1083	BHT	"Cider brewery, dry cider"	Cider	Cider	"Upper Normandy, France"	no	A	2	euploid	Euploid	homozygous	264	M. Mosaic	CLIB collection (Serge Casaregola)	Peter	0.000236008	CLIB1083	AA	hom	FALSE
CLIB1085	BHM	"Cider brewery, dry cider"	Cider	Cider	"Upper Normandy, France"	no	A	2	euploid	Euploid	heterozygous	243	M. Mosaic	CLIB collection (Serge Casaregola)	Peter	0.000495462	CLIB1085	AA	hom	FALSE
CLIB1410	BHN	"Rice wine, Oenology"	Fermentation	Fermentation	Laos	no	A	2	euploid	Euploid	homozygous	220	1. Wine/European	CLIB collection (Serge Casaregola)	Peter	0.000167385	CLIB1410	AA	hom	FALSE
CLIB1411	BHP	"Rice wine, Oenology"	Fermentation	Fermentation	Laos	no	B	2	euploid	Euploid	heterozygous	222	26. Asian fermentation	CLIB collection (Serge Casaregola)	Peter	0.00100703	CLIB1411	BB	hom	FALSE
CLIB1412	BHQ	"Rice wine, Oenology"	Fermentation	Fermentation	Laos	no	B	2	euploid	Euploid	heterozygous	238	26. Asian fermentation	CLIB collection (Serge Casaregola)	Peter	0.000948839	CLIB1412	BB	hom	FALSE
CLIB1413	BHR	"Rice wine, Oenology"	Fermentation	Fermentation	Laos	no	B	2	euploid	Euploid	heterozygous	242	26. Asian fermentation	CLIB collection (Serge Casaregola)	Peter	0.000950605	CLIB1413	BB	hom	FALSE
CLIB1414	BHS	"Rice wine, Oenology"	Fermentation	Fermentation	Laos	no	B	2	euploid	Euploid	heterozygous	187	26. Asian fermentation	CLIB collection (Serge Casaregola)	Peter	0.001056914	CLIB1414	BB	hom	FALSE
CLIB154_1b	ACP	Wine	Wine	Wine	Russia	yes	A	1	euploid	Euploid	homozygous	241	1. Wine/European	Kruglyak Laboratory	1	0.000172672	CLIB154_1b	AA	hom	FALSE
CLIB192_1b	AAM	Bakery	Bakery	Bakery	France	yes	B	1	euploid	Euploid	homozygous	188	8. Mixed origin	CLIB collection	1	0.000232592	CLIB192_1b	BB	hom	FALSE
CLIB208_1	ADK	Bakery	Bakery	Bakery	"Shanaong, China"	no	A	2	aneu;-1*9;	Loss	heterozygous	224	M. Mosaic	CLIB collection	1	0.0025521	CLIB208_1	AA	hom	FALSE
CLIB219_2b	ACQ	Wine	Wine	Wine	Russia	yes	B	1	euploid	Euploid	homozygous	218	18. Far East Asia	CLIB collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.)	1	0.000384149	CLIB219_2b	BB	hom	FALSE
CLIB227	ASH	Beer holland	Beer	Beer	Netherlands	no	A	4	aneu;-1*1;-1*5;-1*7;-1*8;+1*9;-1*14;+1*16;	Both	heterozygous	149	11. Ale beer	CLIB collection (Serge Casaregola)	Peter	0.002890347	CLIB227	AA	het	FALSE
CLIB272_2	AAQ	Beer	Beer	Beer	USA	yes	A	1	euploid	Euploid	homozygous	165	7. Mosaic beer	"CLIB collection / Charles University, Prague, Czech Republic (Vondrejs V.)"	1	0.000349852	CLIB272_2	AA	hom	FALSE
CLIB274_1	AAN	Bakery	Bakery	Bakery	Czech Republic	no	A	2	aneu;-1*3;	Loss	heterozygous	189	8. Mixed origin	CLIB collection	1	0.003545456	CLIB274_1	AA	het	FALSE
CLIB294_1b	ACF	Distillery	Distillery	Distillery	France	yes	A	1	euploid	Euploid	homozygous	202	1. Wine/European	CLIB collection / Bureau National Interprofessionnel du Cognac	1	0.000161426	CLIB294_1b	AA	hom	FALSE
CLIB318_1	ADL	Bakery	Bakery	Bakery	Netherlands	no	A	2	aneu;+1*1;+1*6;+1*9;+1*11;	Gain	heterozygous	216	8. Mixed origin	CLIB collection	1	0.004080013	CLIB318_1	AA	het	FALSE
CLIB324_2	ADM	Bakery	Bakery	Bakery	Vietnam	no	A	2	euploid	Euploid	heterozygous	298	8. Mixed origin	CLIB collection	1	0.003656922	CLIB324_2	AA	hom	FALSE
CLIB326_1	AAP	Bakery	Bakery	Bakery	Australia	no	B	2	euploid	Euploid	heterozygous	197	8. Mixed origin	CLIB collection	1	0.003268845	CLIB326_1	AB	het	FALSE
CLIB340	ASL	Bakery levain	Bakery	Bakery	"Anatolia, Turkey"	no	B	2	aneu;+1*2;+1*9;	Gain	heterozygous	243	8. Mixed origin	CLIB collection / (Oraler G.)	Peter	0.002874278	CLIB340	BB	hom	FALSE
CLIB382_1b	AAR	Beer	Beer	Beer	Ireland	yes	B	1	euploid	Euploid	homozygous	216	7. Mosaic beer	CLIB collection	1	0.000253921	CLIB382_1b	BB	hom	FALSE
CLIB409	ASM	Sugar cane (plant)	Nature	Nature	Vietnam	no	B	3	aneu;+1*1;+1*6;+1*9;+1*16;	Gain	heterozygous	247	NA	CLIB collection (Serge Casaregola)	Peter	0.001860289	CLIB409	BB	het	FALSE
CLIB413	BEF	Fermenting rice	Fermentation	Fermentation	China	no	B	2	euploid	Euploid	heterozygous	234	26. Asian fermentation	CLIB collection (Serge Casaregola)	Peter	0.001196013	CLIB413	BB	het	FALSE
CLIB413_1b	ACG	Fermenting rice beverage	Fermentation	Fermentation	China	yes	A	1	euploid	Euploid	homozygous	178	M. Mosaic	CLIB collection	1	0.000284288	CLIB413_1b	AA	hom	FALSE
CLIB414	BEG	"High sugar foodstuff, Food"	Industrial	Industrial	Japan	no	B	2	aneu;+1*16;	Gain	homozygous	264	NA	CLIB collection (Serge Casaregola)	Peter	0.000344618	CLIB414	BB	hom	FALSE
CLIB415	BEH	"Fermenting rice (lao chao), Fermented beverage"	Fermentation	Fermentation	Taiwan	no	B	2	euploid	Euploid	homozygous	230	26. Asian fermentation	CLIB collection (Serge Casaregola)	Peter	0.000228454	CLIB415	BB	hom	FALSE
CLIB483_1b	ACH	Cider	Cider	Cider	"Brittany, France"	yes	A	1	euploid	Euploid	homozygous	204	M. Mosaic	CLIB collection	1	0.00027986	CLIB483_1b	AA	hom	FALSE
CLIB484	BFQ	"Cider brewery, industrial raw juice"	Cider	Cider	"Brittany, France"	no	A	2	euploid	Euploid	homozygous	263	1. Wine/European	CLIB collection (Serge Casaregola)	Peter	0.000179641	CLIB484	AA	hom	FALSE
CLIB485	BFR	"Cider brewery, industrial raw juice"	Cider	Cider	"Brittany, France"	no	A	2	euploid	Euploid	homozygous	236	1. Wine/European	CLIB collection (Serge Casaregola)	Peter	0.000173702	CLIB485	AA	hom	FALSE
CLIB546	BFS	"Dairy, cheese (camembert)"	Dairy	Dairy	"Normandy, France"	no	A	2	euploid	Euploid	heterozygous	220	5. French dairy	"CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)"	Peter	0.002037744	CLIB546	AA	hom	FALSE
CLIB547	BFT	"Dairy, cheese (camembert)"	Dairy	Dairy	"Normandy, France"	no	A	2	euploid	Euploid	heterozygous	208	5. French dairy	"CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)"	Peter	0.000981123	CLIB547	AA	hom	FALSE
CLIB548	BFV	"Dairy, cheese (camembert)"	Dairy	Dairy	"Normandy, France"	no	A	2	aneu;+1*11;	Gain	heterozygous	213	5. French dairy	"CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)"	Peter	0.002301934	CLIB548	AA	het	FALSE
CLIB549	BGA	"Dairy, cheese (camembert)"	Dairy	Dairy	"Normandy, France"	no	A	2	euploid	Euploid	heterozygous	224	5. French dairy	"CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)"	Peter	0.002202908	CLIB549	AA	het	FALSE
CLIB550	BGB	"Dairy, cheese (camembert)"	Dairy	Dairy	"Normandy, France"	no	A	2	euploid	Euploid	heterozygous	218	5. French dairy	"CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)"	Peter	0.001971403	CLIB550	AA	hom	FALSE
CLIB551	BGC	"Dairy, cheese (camembert)"	Dairy	Dairy	"Normandy, France"	no	A	2	euploid	Euploid	heterozygous	250	5. French dairy	"CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)"	Peter	0.002424452	CLIB551	AA	het	FALSE
CLIB552	BGD	"Dairy, cheese (camembert)"	Dairy	Dairy	"Normandy, France"	no	A	2	euploid	Euploid	heterozygous	231	5. French dairy	"CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)"	Peter	0.001788894	CLIB552	AA	hom	FALSE
CLIB553	BGE	"Dairy, raw milk"	Dairy	Dairy	"Normandy, France"	no	A	2	euploid	Euploid	heterozygous	225	5. French dairy	"CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)"	Peter	0.000927615	CLIB553	AA	hom	FALSE
CLIB554	BGF	"Dairy, brine"	Dairy	Dairy	France	no	A	2	euploid	Euploid	heterozygous	225	5. French dairy	"CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)"	Peter	0.002164214	CLIB554	AA	hom	FALSE
CLIB555	BGG	"Dairy, brine"	Dairy	Dairy	France	no	A	2	aneu;+1*11;	Gain	heterozygous	229	5. French dairy	"CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)"	Peter	0.002315988	CLIB555	AA	hom	FALSE
CLIB556	BGH	"Dairy, Saint Maure goat's cheese"	Dairy	Dairy	"Poitou-Charentes, France"	no	A	2	euploid	Euploid	heterozygous	192	5. French dairy	"CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)"	Peter	0.001946436	CLIB556	AA	het	FALSE
CLIB557	BGI	"Dairy, cheese (camembert)"	Dairy	Dairy	"Normandy, France"	no	A	2	euploid	Euploid	heterozygous	231	5. French dairy	"CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)"	Peter	0.002492056	CLIB557	AA	het	FALSE
CLIB558	BGK	"Dairy, cheese (camembert)"	Dairy	Dairy	"Normandy, France"	no	A	2	euploid	Euploid	heterozygous	242	5. French dairy	"CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)"	Peter	0.002719254	CLIB558	AA	het	FALSE
CLIB559	BGL	"Dairy, cheese (camembert)"	Dairy	Dairy	"Normandy, France"	no	A	2	euploid	Euploid	heterozygous	267	5. French dairy	"CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)"	Peter	0.00220346	CLIB559	AA	hom	FALSE
CLIB560	BGM	"Dairy, cheese (camembert)"	Dairy	Dairy	"Normandy, France"	no	A	2	euploid	Euploid	heterozygous	255	5. French dairy	"CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)"	Peter	0.002019631	CLIB560	AA	hom	FALSE
CLIB561	BGN	"Dairy, cheese (camembert)"	Dairy	Dairy	"Normandy, France"	no	A	2	euploid	Euploid	heterozygous	309	5. French dairy	"CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)"	Peter	0.00189809	CLIB561	AA	het	FALSE
CLIB562	BGP	"Dairy, cheese (camembert)"	Dairy	Dairy	"Normandy, France"	no	A	2	euploid	Euploid	heterozygous	74	5. French dairy	"CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)"	Peter	0.002424081	CLIB562	AA	het	FALSE
CLIB563	BGQ	"Dairy, cheese (camembert)"	Dairy	Dairy	"Normandy, France"	no	A	2	euploid	Euploid	heterozygous	305	5. French dairy	"CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)"	Peter	0.002451761	CLIB563	AA	het	FALSE
CLIB564	BGR	"Dairy, cheese (camembert)"	Dairy	Dairy	"Normandy, France"	no	A	2	aneu;+1*12;	Gain	heterozygous	219	5. French dairy	"CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)"	Peter	0.002384484	CLIB564	AA	het	FALSE
CLIB630	ASN	Dairy cheese (camembert)	Dairy	Dairy	"Normandy, France"	no	A	2	euploid	Euploid	heterozygous	248	5. French dairy	"CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)"	Peter	0.002699097	CLIB630	AA	hom	FALSE
CLIB631	BGS	"Dairy, cheese (camembert)"	Dairy	Dairy	"Normandy, France"	no	A	2	aneu;+1*10;	Gain	heterozygous	235	5. French dairy	"CLIB collection / Laboratoire de Technologie Laitiere, INA-PG (Serge Casaregola)"	Peter	0.002472151	CLIB631	AA	het	FALSE
CLIB648	BGT	"Dairy, whey"	Dairy	Dairy	"Alpes, France"	no	A	2	euploid	Euploid	heterozygous	244	5. French dairy	CLIB collection (Serge Casaregola)	Peter	0.001757412	CLIB648	AA	het	FALSE
CLIB649	BGV	"Dairy, whey"	Dairy	Dairy	"Alpes, France"	no	A	2	euploid	Euploid	heterozygous	205	5. French dairy	CLIB collection (Serge Casaregola)	Peter	0.001794347	CLIB649	AA	het	FALSE
CLIB650	BEI	"Bili Bili beer, brewery"	Beer	Beer	Chad	no	A	3	euploid	Euploid	heterozygous	261	6. African beer	CLIB collection (Serge Casaregola)	Peter	0.001820087	CLIB650	AA	het	FALSE
CLIB651	BEK	"Beer leaven for Bili Bili beer, brewery"	Beer	Beer	Chad	no	A	4	euploid	Euploid	heterozygous	242	6. African beer	CLIB collection (Serge Casaregola)	Peter	0.002296558	CLIB651	AA	het	FALSE
CLIB653	BEM	"Beer leaven for Bili Bili beer, brewery"	Beer	Beer	Chad	no	A	4	euploid	Euploid	heterozygous	217	6. African beer	CLIB collection (Serge Casaregola)	Peter	0.002328279	CLIB653	AA	het	FALSE
CLIB654	BEN	"Beer leaven for Bili Bili beer, brewery"	Beer	Beer	Chad	no	A	3	euploid	Euploid	heterozygous	231	6. African beer	CLIB collection (Serge Casaregola)	Peter	0.001819931	CLIB654	AA	het	FALSE
CLIB655	BHA	"Beer leaven for Bili Bili beer, brewery"	Beer	Beer	Chad	no	A	3	euploid	Euploid	heterozygous	223	6. African beer	CLIB collection (Serge Casaregola)	Peter	0.001819217	CLIB655	AA	het	FALSE
CLIB889	BHB	Bakery	Bakery	Bakery	Australia	no	A	2	euploid	Euploid	heterozygous	203	1. Wine/European	"CLIB collection / INRA Gringnon, France (Nguyen H.V.)"	Peter	0.001135496	CLIB889	AA	hom	FALSE
